alpha,mc_run,final_total_sugar,final_gini,lambda_param,cooperation_rate
-2.0,0,699.0,0.13196191413112218,10,0.3
-2.0,1,714.0,0.14767157035264306,10,0.3
-2.0,2,781.0,0.13415131486429474,10,0.3
-2.0,3,872.0,0.14956222016914225,10,0.3
-2.0,4,741.0,0.15814762242725336,10,0.3
-1.6,0,786.0,0.14254027965079147,10,0.3
-1.6,1,762.0,0.131635114289721,10,0.3
-1.6,2,884.0,0.16027080815978395,10,0.3
-1.6,3,793.0,0.1803711090533514,10,0.3
-1.6,4,773.0,0.1321044536111306,10,0.3
-1.2,0,934.0,0.16075375460470384,10,0.3
-1.2,1,809.0,0.1520991629104958,10,0.3
-1.2,2,884.0,0.1595553317024033,10,0.3
-1.2,3,689.0,0.15142907675981604,10,0.3
-1.2,4,717.0,0.1590866576914901,10,0.3
-0.7999999999999998,0,776.0,0.14942576342576344,10,0.3
-0.7999999999999998,1,772.0,0.14866348113273845,10,0.3
-0.7999999999999998,2,768.0,0.14516652554332482,10,0.3
-0.7999999999999998,3,895.0,0.14475820810483583,10,0.3
-0.7999999999999998,4,776.0,0.15595952448344177,10,0.3
-0.3999999999999999,0,812.0,0.15390627212232758,10,0.3
-0.3999999999999999,1,858.0,0.15137301077570825,10,0.3
-0.3999999999999999,2,709.0,0.14323113705084026,10,0.3
-0.3999999999999999,3,899.0,0.16240776559925493,10,0.3
-0.3999999999999999,4,863.0,0.14791942959001786,10,0.3
0.0,0,741.0,0.1469189532341116,10,0.3
0.0,1,949.0,0.1584515713365309,10,0.3
0.0,2,791.0,0.1350833450063034,10,0.3
0.0,3,912.0,0.14092675955698467,10,0.3
0.0,4,741.0,0.16775968278694323,10,0.3
0.40000000000000036,0,858.0,0.14393580599144074,10,0.3
0.40000000000000036,1,895.0,0.1759906575637801,10,0.3
0.40000000000000036,2,771.0,0.15439415237559742,10,0.3
0.40000000000000036,3,727.0,0.15336800674725892,10,0.3
0.40000000000000036,4,709.0,0.15843486945355978,10,0.3
0.8000000000000003,0,770.0,0.1517769058295964,10,0.3
0.8000000000000003,1,724.0,0.175857325202099,10,0.3
0.8000000000000003,2,772.0,0.16563161258254638,10,0.3
0.8000000000000003,3,790.0,0.15256901568376974,10,0.3
0.8000000000000003,4,734.0,0.14599999999999994,10,0.3
1.2000000000000002,0,919.0,0.14562242725337116,10,0.3
1.2000000000000002,1,770.0,0.15158617759524148,10,0.3
1.2000000000000002,2,740.0,0.15316077825384566,10,0.3
1.2000000000000002,3,820.0,0.16486718141248147,10,0.3
1.2000000000000002,4,711.0,0.16426979761652916,10,0.3
1.6,0,701.0,0.15800511145818547,10,0.3
1.6,1,688.0,0.1545294491974829,10,0.3
1.6,2,718.0,0.13958380202474685,10,0.3
1.6,3,831.0,0.14905829280327054,10,0.3
1.6,4,881.0,0.1635798752956353,10,0.3
2.0,0,811.0,0.13875193471225558,10,0.3
2.0,1,702.0,0.15662020415346703,10,0.3
2.0,2,788.0,0.1602590673575129,10,0.3
2.0,3,740.0,0.1573323903818954,10,0.3
2.0,4,820.0,0.13953151618398635,10,0.3
