Timestep,mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mean
0,4622,4622,4622,4622,4622,4622,4622,4622,4622,4622,4622.0
1,4390,4407,4409,4414,4412,4425,4380,4433,4394,4431,4409.5
2,4181,4171,4195,4183,4211,4249,4130,4232,4148,4225,4192.5
3,3966,3944,3977,3952,3984,4028,3885,4037,3899,3998,3967.0
4,3759,3711,3772,3735,3767,3830,3646,3828,3655,3781,3748.4
5,3539,3488,3550,3518,3563,3631,3418,3580,3406,3557,3525.0
6,3334,3280,3351,3288,3365,3475,3192,3348,3173,3336,3314.2
7,3116,3047,3130,3067,3168,3297,2968,3125,2948,3122,3098.8
8,2941,2826,2924,2842,3003,3120,2773,2930,2741,2904,2900.4
9,2795,2627,2745,2666,2830,2946,2579,2744,2545,2692,2716.9
10,2635,2438,2562,2483,2677,2800,2399,2581,2392,2527,2549.4
11,2495,2252,2423,2317,2535,2672,2219,2413,2263,2373,2396.2
12,2372,2105,2265,2137,2389,2572,2057,2287,2136,2198,2251.8
13,2232,1967,2145,1993,2243,2441,1933,2127,2048,2065,2119.4
14,2099,1831,2036,1870,2114,2356,1798,2036,1909,1923,1997.2
15,1982,1742,1934,1712,2024,2268,1677,1916,1836,1850,1894.1
16,1850,1658,1838,1599,1897,2186,1558,1840,1794,1737,1795.7
17,1759,1566,1744,1462,1822,2096,1478,1771,1690,1657,1704.5
18,1629,1470,1654,1381,1781,2047,1401,1742,1631,1548,1628.4
19,1540,1396,1609,1269,1702,1948,1325,1680,1550,1498,1551.7
20,1473,1307,1532,1210,1631,1886,1271,1623,1483,1434,1485.0
21,1385,1265,1501,1138,1569,1795,1188,1550,1409,1360,1416.0
22,1331,1194,1437,1073,1530,1729,1136,1488,1370,1311,1359.9
23,1294,1149,1441,1024,1491,1672,1097,1445,1284,1252,1314.9
24,1247,1110,1386,931,1434,1631,1028,1420,1258,1236,1268.1
25,1205,1090,1376,880,1382,1584,978,1414,1177,1145,1223.1
26,1203,1038,1326,840,1305,1538,946,1351,1146,1134,1182.7
27,1211,1025,1290,821,1288,1465,943,1335,1061,1106,1154.5
28,1203,1000,1267,838,1264,1446,935,1295,1041,1057,1134.6
29,1137,984,1207,850,1220,1404,939,1251,1020,1030,1104.2
30,1180,962,1216,873,1205,1353,894,1238,983,1017,1092.1
31,1128,980,1173,865,1171,1352,896,1191,971,979,1070.6
32,1088,961,1180,854,1143,1345,906,1186,942,943,1054.8
33,1070,908,1161,863,1126,1337,928,1189,925,937,1044.4
34,1066,877,1136,868,1098,1315,919,1186,900,942,1030.7
35,1056,892,1110,881,1140,1313,921,1171,868,923,1027.5
36,1046,885,1096,859,1111,1292,951,1168,909,943,1026.0
37,1092,907,1089,856,1110,1285,918,1148,887,944,1023.6
38,1076,912,1054,853,1112,1273,941,1180,886,948,1023.5
39,1056,919,1041,885,1109,1295,922,1163,905,974,1026.9
40,1067,909,1037,887,1092,1282,939,1184,915,974,1028.6
41,1052,921,1049,915,1090,1297,946,1163,915,971,1031.9
42,1030,933,1047,909,1104,1276,953,1161,906,982,1030.1
43,1055,947,1065,916,1095,1297,943,1178,915,987,1039.8
44,1034,962,1030,925,1108,1288,947,1144,921,965,1032.4
45,1058,954,1036,938,1125,1316,920,1136,914,971,1036.8
46,1054,1011,1018,967,1119,1271,923,1128,946,962,1039.9
47,1080,983,1044,971,1122,1284,971,1175,916,962,1050.8
48,1104,1029,1036,964,1096,1297,966,1146,923,959,1052.0
49,1084,1030,1025,980,1111,1291,937,1178,917,962,1051.5
50,1094,1058,1052,979,1087,1274,928,1169,926,970,1053.7
51,1072,1041,1030,1023,1103,1282,929,1185,927,956,1054.8
52,1134,1053,1031,1016,1128,1290,952,1175,927,981,1068.7
53,1123,1054,1021,978,1153,1282,966,1184,942,992,1069.5
54,1118,1054,1003,1005,1167,1263,985,1155,921,1021,1069.2
55,1110,1051,992,1023,1151,1263,973,1166,934,1034,1069.7
56,1145,1061,987,1016,1145,1265,982,1167,943,1032,1074.3
57,1119,1084,986,1016,1156,1303,1006,1144,967,1029,1081.0
58,1132,1119,987,1014,1181,1314,1018,1144,967,1071,1094.7
59,1150,1076,985,1047,1147,1310,1007,1157,951,1070,1090.0
60,1150,1128,1003,1072,1175,1302,1049,1144,961,1055,1103.9
61,1177,1101,1023,1065,1176,1295,1073,1149,1003,1089,1115.1
62,1134,1146,1042,1053,1194,1283,1106,1153,1017,1076,1120.4
63,1154,1141,1054,1079,1197,1271,1085,1164,990,1104,1123.9
64,1167,1147,1060,1060,1180,1313,1093,1173,988,1091,1127.2
65,1191,1114,1083,1088,1203,1290,1104,1177,986,1128,1136.4
66,1184,1150,1068,1070,1212,1291,1090,1185,964,1110,1132.4
67,1161,1166,1092,1088,1233,1300,1112,1186,973,1122,1143.3
68,1171,1182,1077,1107,1233,1314,1077,1194,948,1137,1144.0
69,1167,1189,1089,1090,1225,1327,1075,1184,962,1141,1144.9
70,1172,1186,1084,1111,1239,1339,1095,1166,973,1143,1150.8
71,1148,1183,1080,1126,1234,1330,1107,1173,967,1182,1153.0
72,1152,1165,1099,1121,1272,1321,1135,1198,961,1176,1160.0
73,1152,1192,1094,1132,1260,1320,1144,1191,970,1172,1162.7
74,1197,1202,1120,1155,1273,1338,1155,1203,973,1179,1179.5
75,1197,1193,1116,1155,1252,1333,1148,1207,983,1199,1178.3
76,1219,1196,1117,1133,1268,1315,1156,1198,1032,1205,1183.9
77,1206,1209,1145,1171,1244,1331,1151,1215,1028,1223,1192.3
78,1207,1214,1139,1138,1258,1330,1148,1247,1051,1227,1195.9
79,1200,1189,1130,1108,1258,1342,1151,1253,1030,1217,1187.8
80,1214,1179,1146,1124,1255,1339,1148,1246,1047,1229,1192.7
81,1252,1196,1136,1110,1246,1346,1151,1254,1038,1199,1192.8
82,1227,1249,1152,1099,1253,1358,1163,1270,1025,1200,1199.6
83,1209,1216,1162,1118,1242,1337,1150,1236,1035,1215,1192.0
84,1242,1241,1167,1123,1238,1350,1167,1255,1067,1218,1206.8
85,1231,1236,1148,1109,1273,1332,1180,1233,1079,1223,1204.4
86,1250,1224,1159,1132,1300,1346,1179,1251,1055,1229,1212.5
87,1255,1216,1181,1147,1304,1357,1232,1258,1072,1232,1225.4
88,1250,1211,1134,1146,1302,1348,1233,1246,1055,1272,1219.7
89,1244,1196,1190,1134,1293,1323,1212,1276,1070,1237,1217.5
90,1237,1178,1194,1140,1309,1371,1251,1273,1085,1235,1227.3
91,1249,1209,1203,1126,1323,1369,1246,1268,1079,1243,1231.5
92,1236,1201,1186,1146,1331,1375,1240,1263,1083,1243,1230.4
93,1252,1233,1216,1113,1312,1363,1229,1240,1069,1271,1229.8
94,1260,1231,1185,1134,1323,1364,1230,1271,1080,1262,1234.0
95,1295,1271,1198,1138,1299,1363,1209,1290,1088,1249,1240.0
96,1266,1263,1198,1136,1324,1333,1237,1274,1082,1254,1236.7
97,1259,1255,1216,1152,1353,1365,1215,1272,1107,1248,1244.2
