Timestep,mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mean
0,4622,4622,4622,4622,4622,4622,4622,4622,4622,4622,4622.0
1,4426,4409,4449,4400,4392,4401,4405,4389,4392,4402,4406.5
2,4201,4182,4252,4184,4187,4162,4196,4174,4150,4178,4186.6
3,4015,3960,4084,3972,3963,3926,3984,3957,3898,3942,3970.1
4,3800,3745,3901,3750,3750,3683,3751,3767,3648,3708,3750.3
5,3587,3549,3739,3549,3549,3476,3522,3554,3410,3488,3542.3
6,3400,3358,3547,3335,3345,3254,3324,3334,3201,3255,3335.3
7,3195,3165,3349,3136,3162,3044,3136,3154,2989,3017,3134.7
8,3026,2970,3166,2922,2977,2875,2969,2952,2801,2820,2947.8
9,2828,2816,2981,2730,2801,2715,2774,2765,2622,2619,2765.1
10,2649,2683,2803,2540,2618,2548,2635,2610,2504,2468,2605.8
11,2529,2518,2622,2349,2458,2384,2522,2439,2370,2363,2455.4
12,2395,2378,2500,2191,2313,2236,2410,2320,2243,2215,2320.1
13,2298,2242,2352,2044,2199,2066,2311,2191,2126,2099,2192.8
14,2200,2165,2205,1904,2074,1919,2199,2070,2023,1976,2073.5
15,2120,2057,2093,1763,1945,1797,2073,1933,1898,1899,1957.8
16,2022,1986,1978,1674,1818,1676,2039,1858,1813,1788,1865.2
17,1941,1893,1880,1570,1724,1594,1975,1732,1752,1715,1777.6
18,1901,1823,1824,1510,1660,1517,1910,1679,1679,1639,1714.2
19,1779,1724,1773,1408,1591,1440,1845,1590,1614,1604,1636.8
20,1727,1676,1718,1327,1551,1367,1802,1556,1546,1542,1581.2
21,1635,1581,1640,1245,1472,1287,1734,1488,1535,1484,1510.1
22,1573,1511,1618,1186,1408,1209,1701,1420,1511,1401,1453.8
23,1494,1473,1606,1137,1340,1183,1649,1371,1459,1374,1408.6
24,1445,1418,1573,1072,1288,1151,1627,1316,1400,1346,1363.6
25,1382,1355,1556,1031,1249,1113,1622,1279,1400,1307,1329.4
26,1357,1298,1518,1023,1217,1109,1563,1260,1332,1304,1298.1
27,1308,1279,1513,998,1183,1064,1515,1201,1318,1290,1266.9
28,1275,1244,1480,968,1175,1058,1458,1188,1280,1232,1235.8
29,1226,1223,1432,917,1138,1023,1476,1177,1262,1234,1210.8
30,1163,1189,1431,896,1136,1007,1384,1160,1238,1210,1181.4
31,1146,1171,1422,903,1109,980,1360,1172,1223,1193,1167.9
32,1127,1139,1391,892,1097,997,1324,1139,1208,1191,1150.5
33,1124,1090,1374,897,1070,1021,1301,1105,1211,1181,1137.4
34,1114,1079,1406,885,1079,1017,1299,1082,1215,1147,1132.3
35,1063,1088,1363,887,1051,1034,1277,1081,1231,1136,1121.1
36,1072,1050,1377,879,1024,1053,1255,1101,1258,1109,1117.8
37,1050,1034,1373,859,1022,1013,1235,1108,1251,1095,1104.0
38,1044,1032,1341,872,998,1003,1225,1121,1261,1114,1101.1
39,1032,1007,1363,876,997,1023,1197,1119,1254,1098,1096.6
40,1073,1052,1381,885,992,972,1179,1116,1274,1135,1105.9
41,1047,1040,1370,903,957,990,1176,1140,1283,1107,1101.3
42,1075,1069,1357,912,975,992,1181,1127,1297,1137,1112.2
43,1075,1055,1327,904,958,1010,1213,1167,1271,1107,1108.7
44,1084,1022,1326,977,961,1010,1224,1157,1260,1140,1116.1
45,1107,1032,1317,961,932,1018,1183,1146,1266,1131,1109.3
46,1108,1039,1319,976,931,1021,1185,1143,1274,1132,1112.8
47,1093,1030,1322,975,926,1017,1170,1157,1293,1145,1112.8
48,1071,1053,1314,960,927,1012,1160,1153,1248,1147,1104.5
49,1091,1050,1308,983,935,1016,1162,1158,1261,1156,1112.0
50,1097,1036,1307,981,945,1032,1151,1180,1294,1157,1118.0
51,1115,1060,1309,992,939,1023,1151,1156,1271,1173,1118.9
52,1136,1061,1308,1018,967,1012,1169,1152,1281,1189,1129.3
53,1117,1062,1306,1036,943,1014,1178,1125,1296,1182,1125.9
54,1135,1071,1307,1029,959,1026,1180,1136,1292,1177,1131.2
55,1092,1058,1307,996,963,1016,1167,1118,1284,1138,1113.9
56,1079,1074,1283,1018,997,1042,1207,1137,1281,1126,1124.4
57,1091,1096,1286,1001,1028,1044,1202,1120,1280,1123,1127.1
58,1080,1080,1298,1001,1024,1048,1215,1118,1271,1152,1128.7
59,1100,1055,1287,1019,1038,1037,1213,1125,1310,1124,1130.8
60,1124,1073,1277,1049,1046,1067,1232,1145,1280,1144,1143.7
61,1127,1053,1285,1081,1059,1058,1222,1181,1290,1193,1154.9
62,1125,1081,1286,1079,1067,1048,1220,1195,1265,1169,1153.5
63,1111,1090,1295,1077,1082,1065,1241,1184,1297,1152,1159.4
64,1118,1120,1295,1089,1079,1071,1233,1176,1306,1195,1168.2
65,1150,1131,1278,1109,1066,1082,1255,1212,1314,1203,1180.0
66,1147,1124,1271,1126,1076,1079,1258,1203,1310,1192,1178.6
67,1156,1154,1253,1121,1050,1056,1260,1223,1311,1170,1175.4
68,1135,1113,1294,1116,1070,1070,1285,1222,1310,1177,1179.2
69,1161,1140,1297,1081,1091,1084,1286,1252,1305,1169,1186.6
70,1167,1121,1334,1096,1104,1079,1287,1241,1278,1185,1189.2
71,1156,1131,1303,1117,1073,1117,1276,1228,1308,1189,1189.8
72,1167,1138,1306,1103,1088,1131,1311,1204,1313,1175,1193.6
73,1193,1153,1321,1116,1093,1151,1268,1214,1346,1163,1201.8
74,1210,1180,1320,1116,1094,1140,1286,1201,1318,1166,1203.1
