Timestep,mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mc_11,mc_12,mc_13,mc_14,mc_15,mc_16,mc_17,mc_18,mc_19,mc_20,mean
0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0
1,4441.0,4412.0,4413.0,4386.0,4403.0,4397.0,4413.0,4391.0,4417.0,4423.0,4412.0,4406.0,4405.0,4424.0,4407.0,4392.0,4414.0,4405.0,4419.0,4410.0,4409.5
2,4195.0,4184.0,4183.0,4145.0,4194.0,4165.0,4176.0,4152.0,4193.0,4227.0,4196.0,4170.0,4164.0,4207.0,4186.0,4154.0,4198.0,4186.0,4185.0,4206.0,4183.3
3,3944.0,3947.0,3940.0,3917.0,3970.0,3929.0,3933.0,3912.0,3958.0,4028.0,3992.0,3922.0,3920.0,3983.0,3943.0,3917.0,3998.0,3936.0,3942.0,3982.0,3950.65
4,3708.0,3693.0,3701.0,3671.0,3732.0,3693.0,3681.0,3669.0,3747.0,3805.0,3769.0,3684.0,3685.0,3771.0,3722.0,3695.0,3795.0,3695.0,3719.0,3766.0,3720.05
5,3480.0,3476.0,3448.0,3422.0,3495.0,3468.0,3421.0,3437.0,3538.0,3584.0,3556.0,3447.0,3444.0,3545.0,3496.0,3457.0,3580.0,3481.0,3498.0,3534.0,3490.35
6,3243.0,3245.0,3202.0,3180.0,3257.0,3228.0,3199.0,3200.0,3322.0,3363.0,3340.0,3215.0,3223.0,3340.0,3282.0,3248.0,3373.0,3250.0,3280.0,3331.0,3266.05
7,3009.0,3046.0,2969.0,2957.0,3033.0,3000.0,2976.0,2976.0,3103.0,3160.0,3114.0,2999.0,2995.0,3123.0,3076.0,3028.0,3164.0,3031.0,3055.0,3131.0,3047.25
8,2797.0,2869.0,2744.0,2739.0,2844.0,2777.0,2758.0,2786.0,2892.0,2968.0,2899.0,2798.0,2791.0,2940.0,2884.0,2836.0,2956.0,2804.0,2852.0,2951.0,2844.25
9,2584.0,2709.0,2536.0,2540.0,2646.0,2557.0,2550.0,2597.0,2711.0,2768.0,2718.0,2580.0,2578.0,2752.0,2671.0,2641.0,2748.0,2599.0,2635.0,2755.0,2643.75
10,2370.0,2528.0,2334.0,2346.0,2477.0,2356.0,2359.0,2420.0,2565.0,2577.0,2542.0,2377.0,2410.0,2579.0,2479.0,2452.0,2556.0,2403.0,2440.0,2576.0,2457.3
11,2195.0,2357.0,2152.0,2203.0,2312.0,2176.0,2188.0,2279.0,2438.0,2390.0,2386.0,2230.0,2245.0,2418.0,2299.0,2272.0,2390.0,2228.0,2246.0,2417.0,2291.05
12,2011.0,2227.0,1973.0,2054.0,2142.0,1981.0,2035.0,2157.0,2295.0,2268.0,2235.0,2086.0,2082.0,2255.0,2151.0,2125.0,2233.0,2065.0,2064.0,2266.0,2135.25
13,1841.0,2103.0,1809.0,1917.0,2005.0,1817.0,1884.0,2022.0,2163.0,2122.0,2096.0,1967.0,1951.0,2099.0,1997.0,1980.0,2100.0,1920.0,1879.0,2113.0,1989.25
