Timestep,mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mc_11,mc_12,mc_13,mc_14,mc_15,mc_16,mc_17,mc_18,mc_19,mc_20,mc_21,mc_22,mc_23,mc_24,mc_25,mc_26,mc_27,mc_28,mc_29,mean
0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0,4622.0
1,4399.0,4375.0,4404.0,4421.0,4396.0,4402.0,4413.0,4408.0,4401.0,4427.0,4429.0,4415.0,4390.0,4401.0,4410.0,4390.0,4384.0,4396.0,4394.0,4424.0,4405.0,4415.0,4424.0,4420.0,4411.0,4397.0,4397.0,4400.0,4434.0,4406.275862068966
2,4182.0,4128.0,4197.0,4181.0,4178.0,4158.0,4204.0,4167.0,4163.0,4185.0,4210.0,4200.0,4166.0,4169.0,4193.0,4111.0,4154.0,4166.0,4163.0,4211.0,4176.0,4193.0,4189.0,4181.0,4196.0,4165.0,4175.0,4156.0,4224.0,4177.275862068966
3,3962.0,3883.0,3982.0,3943.0,3955.0,3931.0,3962.0,3921.0,3927.0,3949.0,3998.0,3966.0,3930.0,3918.0,3985.0,3863.0,3930.0,3918.0,3923.0,3983.0,3950.0,3966.0,3965.0,3953.0,3970.0,3922.0,3952.0,3900.0,4000.0,3945.0689655172414
4,3739.0,3638.0,3774.0,3713.0,3739.0,3699.0,3742.0,3668.0,3686.0,3714.0,3806.0,3747.0,3713.0,3688.0,3769.0,3610.0,3688.0,3697.0,3691.0,3757.0,3707.0,3746.0,3729.0,3720.0,3746.0,3702.0,3730.0,3650.0,3785.0,3717.0
5,3544.0,3394.0,3565.0,3482.0,3552.0,3461.0,3511.0,3434.0,3452.0,3472.0,3600.0,3556.0,3514.0,3444.0,3576.0,3407.0,3489.0,3460.0,3481.0,3509.0,3495.0,3528.0,3493.0,3489.0,3530.0,3465.0,3500.0,3426.0,3569.0,3496.4827586206898
6,3317.0,3172.0,3352.0,3274.0,3354.0,3246.0,3316.0,3214.0,3225.0,3247.0,3406.0,3375.0,3317.0,3230.0,3361.0,3174.0,3272.0,3243.0,3296.0,3284.0,3283.0,3326.0,3286.0,3263.0,3316.0,3238.0,3288.0,3208.0,3352.0,3283.9655172413795
7,3121.0,2954.0,3136.0,3056.0,3131.0,3023.0,3129.0,2978.0,3019.0,3028.0,3243.0,3181.0,3105.0,3015.0,3168.0,2951.0,3050.0,3006.0,3104.0,3070.0,3078.0,3118.0,3077.0,3087.0,3099.0,3033.0,3057.0,2981.0,3146.0,3073.9310344827586
8,2944.0,2734.0,2926.0,2854.0,2930.0,2803.0,2971.0,2768.0,2813.0,2806.0,3063.0,2985.0,2918.0,2800.0,2985.0,2728.0,2852.0,2796.0,2930.0,2862.0,2920.0,2913.0,2872.0,2873.0,2906.0,2846.0,2864.0,2769.0,2953.0,2875.310344827586
9,2752.0,2547.0,2724.0,2656.0,2749.0,2603.0,2800.0,2567.0,2651.0,2625.0,2893.0,2810.0,2750.0,2583.0,2802.0,2544.0,2677.0,2585.0,2758.0,2642.0,2747.0,2723.0,2702.0,2680.0,2698.0,2653.0,2648.0,2556.0,2763.0,2685.793103448276
