alpha,mc_run,final_total_sugar,final_gini,lambda_param,cooperation_rate
-20.0,0,0.0,0.5218169608595549,10,0.3
-20.0,1,82.0,0.4469279519679787,10,0.3
-20.0,2,104.0,0.4464357705699102,10,0.3
-20.0,3,51.0,0.4720209878776913,10,0.3
-20.0,4,33.0,0.42891308574761816,10,0.3
-20.0,5,132.0,0.4937856212932157,10,0.3
-20.0,6,45.0,0.4661259113853057,10,0.3
-20.0,7,74.0,0.5390034484774096,10,0.3
-20.0,8,85.0,0.4514321703946866,10,0.3
-20.0,9,93.0,0.5998552897088498,10,0.3
-18.0,0,0.0,0.4168863833477884,10,0.3
-18.0,1,20.0,0.49187384788009936,10,0.3
-18.0,2,0.0,0.5055633612537153,10,0.3
-18.0,3,71.0,0.5507220822837952,10,0.3
-18.0,4,47.0,0.4474221566699443,10,0.3
-18.0,5,83.0,0.4849119579500657,10,0.3
-18.0,6,154.0,0.5005492544921626,10,0.3
-18.0,7,73.0,0.5555261132490379,10,0.3
-18.0,8,91.0,0.5670204821261875,10,0.3
-18.0,9,125.0,0.5347739700070381,10,0.3
-16.0,0,88.0,0.4655077835433654,10,0.3
-16.0,1,87.0,0.5222499041778459,10,0.3
-16.0,2,0.0,0.48093611948671205,10,0.3
-16.0,3,41.0,0.4833539780848023,10,0.3
-16.0,4,52.0,0.40345421208108384,10,0.3
-16.0,5,58.0,0.4200160695717932,10,0.3
-16.0,6,99.0,0.4823522941546197,10,0.3
-16.0,7,34.0,0.4260558121253808,10,0.3
-16.0,8,66.0,0.5708547224680743,10,0.3
-16.0,9,94.0,0.5329201440744971,10,0.3
-14.0,0,78.0,0.5475502878009532,10,0.3
-14.0,1,61.0,0.42171295838687356,10,0.3
-14.0,2,30.0,0.485993690851735,10,0.3
-14.0,3,46.0,0.567607372836297,10,0.3
-14.0,4,74.0,0.5469244868035191,10,0.3
-14.0,5,69.0,0.5826766216136458,10,0.3
-14.0,6,0.0,0.4691284103310295,10,0.3
-14.0,7,13.0,0.5189014861345181,10,0.3
-14.0,8,28.0,0.49349215832710974,10,0.3
-14.0,9,109.0,0.6069476929099182,10,0.3
-12.0,0,64.0,0.5491340270878,10,0.3
-12.0,1,93.0,0.45286368633198976,10,0.3
-12.0,2,92.0,0.5027169638774577,10,0.3
-12.0,3,76.0,0.48990311511807844,10,0.3
-12.0,4,100.0,0.6123073220302723,10,0.3
-12.0,5,103.0,0.5892670313276976,10,0.3
-12.0,6,49.0,0.5285332211942809,10,0.3
-12.0,7,74.0,0.49440747493163173,10,0.3
-12.0,8,84.0,0.4976205524982291,10,0.3
-12.0,9,42.0,0.4484358658874193,10,0.3
-10.0,0,56.0,0.563544198435159,10,0.3
-10.0,1,45.0,0.4989994249568718,10,0.3
-10.0,2,6.0,0.3790772316950853,10,0.3
-10.0,3,85.0,0.5683784613809695,10,0.3
-10.0,4,91.0,0.5486220919235861,10,0.3
-10.0,5,103.0,0.4533236261155472,10,0.3
-10.0,6,108.0,0.538318308983525,10,0.3
-10.0,7,60.0,0.5129284425736621,10,0.3
-10.0,8,29.0,0.4954434250764526,10,0.3
-10.0,9,10.0,0.46361574153634644,10,0.3
-8.0,0,7.0,0.4548217987955375,10,0.3
-8.0,1,121.0,0.5541636017193247,10,0.3
-8.0,2,111.0,0.5197844657642265,10,0.3
-8.0,3,67.0,0.46775095195657457,10,0.3
-8.0,4,72.0,0.33157194344330465,10,0.3
-8.0,5,31.0,0.2765164259641327,10,0.3
-8.0,6,67.0,0.4118807554237553,10,0.3
-8.0,7,83.0,0.45400186567164175,10,0.3
-8.0,8,42.0,0.475654814934802,10,0.3
-8.0,9,49.0,0.5782054354337999,10,0.3
-6.0,0,63.0,0.5167192666937402,10,0.3
-6.0,1,65.0,0.5446379804934022,10,0.3
-6.0,2,90.0,0.5251327788930312,10,0.3
-6.0,3,127.0,0.4733185519632347,10,0.3
-6.0,4,107.0,0.5816224066390041,10,0.3
-6.0,5,19.0,0.4111880234909021,10,0.3
-6.0,6,53.0,0.48850156087408947,10,0.3
-6.0,7,8.0,0.35735238095238087,10,0.3
-6.0,8,31.0,0.5274120646694095,10,0.3
-6.0,9,86.0,0.5659663659240164,10,0.3
-4.0,0,78.0,0.5234870711798618,10,0.3
-4.0,1,28.0,0.56882549867485,10,0.3
-4.0,2,83.0,0.48564855390008765,10,0.3
-4.0,3,34.0,0.46355823595929135,10,0.3
-4.0,4,44.0,0.47662364523868617,10,0.3
-4.0,5,75.0,0.5244373695756862,10,0.3
-4.0,6,50.0,0.5363785046728972,10,0.3
-4.0,7,67.0,0.4756471205103557,10,0.3
-4.0,8,42.0,0.5426857832779958,10,0.3
-4.0,9,71.0,0.5321988990070484,10,0.3
-2.0,0,82.0,0.5019562869305547,10,0.3
-2.0,1,20.0,0.48530100610258947,10,0.3
-2.0,2,6.0,0.4074667365112624,10,0.3
-2.0,3,97.0,0.48622360466135106,10,0.3
-2.0,4,150.0,0.5463667341071239,10,0.3
-2.0,5,118.0,0.45695503387858466,10,0.3
-2.0,6,44.0,0.5550731479862447,10,0.3
-2.0,7,47.0,0.5897048014940659,10,0.3
-2.0,8,59.0,0.5317439446366782,10,0.3
-2.0,9,152.0,0.5062093247350085,10,0.3
0.0,0,6.0,0.4996676641990864,10,0.3
0.0,1,0.0,0.46624504724169463,10,0.3
0.0,2,123.0,0.559668948701116,10,0.3
0.0,3,60.0,0.4809657959823852,10,0.3
0.0,4,38.0,0.5030516800943211,10,0.3
0.0,5,77.0,0.5674242166694996,10,0.3
0.0,6,63.0,0.5329718934911243,10,0.3
0.0,7,15.0,0.525497610345797,10,0.3
0.0,8,41.0,0.4968599277371649,10,0.3
0.0,9,44.0,0.5221663533834586,10,0.3
2.0,0,31.0,0.3208032624814632,10,0.3
2.0,1,116.0,0.5330838933007535,10,0.3
2.0,2,82.0,0.5309528566968467,10,0.3
2.0,3,42.0,0.5098539390454284,10,0.3
2.0,4,59.0,0.4405204149933066,10,0.3
2.0,5,0.0,0.49109587104072394,10,0.3
2.0,6,83.0,0.49222875816993467,10,0.3
2.0,7,32.0,0.48642768543785664,10,0.3
2.0,8,68.0,0.5434478203434611,10,0.3
2.0,9,59.0,0.5534695393759287,10,0.3
4.0,0,59.0,0.5756615333664513,10,0.3
4.0,1,0.0,0.35270083565459615,10,0.3
4.0,2,105.0,0.533561578508127,10,0.3
4.0,3,56.0,0.4924872679480861,10,0.3
4.0,4,74.0,0.5153196847834918,10,0.3
4.0,5,13.0,0.5234108716944172,10,0.3
4.0,6,36.0,0.5084572850428531,10,0.3
4.0,7,69.0,0.41685102040816324,10,0.3
4.0,8,14.0,0.569048002685465,10,0.3
4.0,9,21.0,0.44157021567287985,10,0.3
6.0,0,7.0,0.560270068566631,10,0.3
6.0,1,64.0,0.4342347937048065,10,0.3
6.0,2,0.0,0.41289798719121684,10,0.3
6.0,3,73.0,0.5151177744242503,10,0.3
6.0,4,103.0,0.5346843223990349,10,0.3
6.0,5,10.0,0.5642519634761509,10,0.3
6.0,6,73.0,0.5943584893353336,10,0.3
6.0,7,62.0,0.6165676028739386,10,0.3
6.0,8,67.0,0.5763977155355733,10,0.3
6.0,9,42.0,0.5466394165735459,10,0.3
8.0,0,83.0,0.5480080735887765,10,0.3
8.0,1,77.0,0.5317014492753623,10,0.3
8.0,2,91.0,0.6093671706263499,10,0.3
8.0,3,60.0,0.5148981525343439,10,0.3
8.0,4,63.0,0.4782951127819549,10,0.3
8.0,5,67.0,0.47948905109489054,10,0.3
8.0,6,66.0,0.5067997038134024,10,0.3
8.0,7,53.0,0.5456390231808603,10,0.3
8.0,8,0.0,0.4955377261864118,10,0.3
8.0,9,82.0,0.51547284018552,10,0.3
10.0,0,4.0,0.4459168778509883,10,0.3
10.0,1,13.0,0.5550943396226415,10,0.3
10.0,2,97.0,0.4938849021110569,10,0.3
10.0,3,0.0,0.39684559159433536,10,0.3
10.0,4,130.0,0.4852585666229545,10,0.3
10.0,5,60.0,0.5335801882308204,10,0.3
10.0,6,122.0,0.545299572039943,10,0.3
10.0,7,127.0,0.599029593943565,10,0.3
10.0,8,40.0,0.4895211950970378,10,0.3
10.0,9,89.0,0.5944448107246855,10,0.3
12.0,0,33.0,0.36446741573033703,10,0.3
12.0,1,29.0,0.5285201672737084,10,0.3
12.0,2,19.0,0.5027002595542827,10,0.3
12.0,3,82.0,0.5065861618798956,10,0.3
12.0,4,1.0,0.49776752895485127,10,0.3
12.0,5,105.0,0.5342649319929036,10,0.3
12.0,6,96.0,0.436062649554057,10,0.3
12.0,7,143.0,0.5130060001188143,10,0.3
12.0,8,19.0,0.42192617991125453,10,0.3
12.0,9,92.0,0.48744917321767417,10,0.3
14.0,0,25.0,0.5021654840344653,10,0.3
14.0,1,57.0,0.37629317980513727,10,0.3
14.0,2,97.0,0.472013456686291,10,0.3
14.0,3,49.0,0.4690392120423713,10,0.3
14.0,4,27.0,0.5433784997143091,10,0.3
14.0,5,115.0,0.5466331713780919,10,0.3
14.0,6,121.0,0.5634363715152391,10,0.3
14.0,7,74.0,0.508691226369365,10,0.3
14.0,8,36.0,0.5416881067003394,10,0.3
14.0,9,96.0,0.5324063541870955,10,0.3
16.0,0,0.0,0.47773670139208996,10,0.3
16.0,1,47.0,0.5512233216918898,10,0.3
16.0,2,82.0,0.4770513318319485,10,0.3
16.0,3,96.0,0.5449810949396592,10,0.3
16.0,4,92.0,0.52448214849921,10,0.3
16.0,5,63.0,0.45650992604126117,10,0.3
16.0,6,122.0,0.5009551933223089,10,0.3
16.0,7,44.0,0.5567830095488969,10,0.3
16.0,8,120.0,0.5079223479058392,10,0.3
16.0,9,45.0,0.4915847557386698,10,0.3
18.0,0,133.0,0.5420479445640978,10,0.3
18.0,1,29.0,0.49877761204631016,10,0.3
18.0,2,75.0,0.4887179656103827,10,0.3
18.0,3,44.0,0.5758782016183002,10,0.3
18.0,4,138.0,0.48774305775191346,10,0.3
18.0,5,20.0,0.4354608144627714,10,0.3
18.0,6,18.0,0.5617582028204946,10,0.3
18.0,7,73.0,0.6088033617929562,10,0.3
18.0,8,81.0,0.5407253541211142,10,0.3
18.0,9,70.0,0.5373913919290942,10,0.3
20.0,0,70.0,0.555139241719791,10,0.3
20.0,1,112.0,0.5447972027972028,10,0.3
20.0,2,67.0,0.5317526717557253,10,0.3
20.0,3,83.0,0.5412697095435685,10,0.3
20.0,4,74.0,0.47373428331936296,10,0.3
20.0,5,19.0,0.47024808033077375,10,0.3
20.0,6,28.0,0.47347763991787917,10,0.3
20.0,7,50.0,0.5213590218183858,10,0.3
20.0,8,119.0,0.589277201076509,10,0.3
20.0,9,29.0,0.5300429000429001,10,0.3
