,TotalSugar,AvgSugarLevel,SugarGini,NumCooperators,RiskAverseAvgSugar,NeutralAvgSugar,RiskSeekingAvgSugar,RiskAverseCoopSugar,NeutralCoopSugar,RiskSeekingCoopSugar,RiskSeekingNonCoopSugar,RiskAverseNonCoopSugar,NeutralNonCoopSugar
0,4622,0.0,0.0,28,0.0,0.0,0.0,0,0,0,0,0,0
1,4542,0.8,0.2,28,0.7647058823529411,0.7878787878787878,0.8484848484848485,9,7,8,20,17,19
2,4459,1.63,0.18472392638036808,28,1.5588235294117647,1.606060606060606,1.7272727272727273,18,14,17,40,35,39
3,4376,2.46,0.17975609756097555,28,2.3529411764705883,2.4242424242424243,2.606060606060606,27,21,26,60,53,59
4,4298,3.3,0.1747272727272727,28,3.176470588235294,3.242424242424242,3.484848484848485,36,28,35,80,72,79
5,4220,4.14,0.17173913043478264,28,4.0,4.0606060606060606,4.363636363636363,45,35,44,100,91,99
6,4139,4.98,0.16975903614457835,28,4.823529411764706,4.878787878787879,5.242424242424242,54,42,53,120,110,119
7,4055,5.82,0.16835051546391752,28,5.647058823529412,5.696969696969697,6.121212121212121,63,49,62,140,129,139
8,3972,6.65,0.1682556390977443,28,6.411764705882353,6.515151515151516,7.03030303030303,71,56,71,161,147,159
9,3891,7.49,0.16727636849132183,28,7.205882352941177,7.333333333333333,7.9393939393939394,79,63,80,182,166,179
10,3810,8.33,0.1664945978391357,28,8.0,8.151515151515152,8.848484848484848,87,70,89,203,185,199
11,3726,9.17,0.16587786259541987,28,8.794117647058824,8.969696969696969,9.757575757575758,95,77,98,224,204,219
12,3642,10.01,0.16536463536463544,28,9.588235294117647,9.787878787878787,10.666666666666666,103,84,107,245,223,239
13,3559,10.84,0.165590405904059,28,10.382352941176471,10.606060606060606,11.545454545454545,111,91,116,265,242,259
14,3475,11.68,0.16510273972602746,28,11.205882352941176,11.424242424242424,12.424242424242424,119,98,125,285,262,279
15,3392,12.51,0.16536370903277373,28,12.029411764705882,12.242424242424242,13.272727272727273,127,105,134,304,282,299
16,3311,13.35,0.1649812734082397,28,12.852941176470589,13.06060606060606,14.151515151515152,135,112,143,324,302,319
17,3231,14.18,0.16519040902679832,28,13.676470588235293,13.848484848484848,15.030303030303031,143,119,152,344,322,338
18,3147,15.02,0.16486018641810915,28,14.5,14.666666666666666,15.909090909090908,151,126,161,364,342,358
19,3063,15.86,0.16456494325346782,28,15.323529411764707,15.484848484848484,16.78787878787879,159,133,170,384,362,378
20,2979,16.7,0.16429940119760475,28,16.147058823529413,16.303030303030305,17.666666666666668,167,140,179,404,382,398
21,2895,17.54,0.1640820980615736,28,16.970588235294116,17.12121212121212,18.545454545454547,175,147,188,424,402,418
22,2810,18.39,0.16340946166394787,28,17.823529411764707,17.939393939393938,19.424242424242426,184,154,197,444,422,438
23,2725,19.24,0.16279625779625775,28,18.676470588235293,18.757575757575758,20.303030303030305,193,161,206,464,442,458
24,2639,20.1,0.16182089552238807,28,19.529411764705884,19.575757575757574,21.21212121212121,202,168,215,485,462,478
25,2553,20.96,0.16092557251908401,28,20.38235294117647,20.393939393939394,22.12121212121212,211,175,224,506,482,498
26,2468,21.81,0.1604539202200826,28,21.235294117647058,21.181818181818183,23.03030303030303,220,182,233,527,502,517
27,2384,22.65,0.16035761589403974,28,22.08823529411765,21.96969696969697,23.90909090909091,229,189,241,548,522,536
28,2300,23.49,0.16026819923371646,28,22.941176470588236,22.757575757575758,24.78787878787879,238,196,249,569,542,555
29,2216,24.33,0.16019317714755446,28,23.794117647058822,23.545454545454547,25.666666666666668,247,203,257,590,562,574
30,2133,25.16,0.1604133545310016,28,24.61764705882353,24.333333333333332,26.545454545454547,255,210,266,610,582,593
31,2051,25.98,0.16089299461123943,28,25.441176470588236,25.09090909090909,27.424242424242426,263,217,275,630,602,611
32,1975,26.8,0.16137313432835826,28,26.294117647058822,25.848484848484848,28.272727272727273,272,224,283,650,622,629
33,1895,27.63,0.16153818313427437,28,27.147058823529413,26.606060606060606,29.151515151515152,281,231,291,671,642,647
34,1815,28.46,0.16172874209416718,28,28.0,27.393939393939394,30.0,290,238,299,691,662,666
35,1736,29.28,0.16211065573770497,28,28.794117647058822,28.21212121212121,30.848484848484848,297,245,308,710,682,686
36,1655,30.12,0.1619322709163346,28,29.58823529411765,29.09090909090909,31.696969696969695,304,253,317,729,702,707
37,1581,30.95,0.16202584814216478,28,30.41176470588235,29.939393939393938,32.515151515151516,312,260,325,748,722,728
38,1511,31.77,0.16233868429335857,28,31.205882352941178,30.757575757575758,33.36363636363637,320,267,334,767,741,748
39,1448,32.58,0.16278084714548796,28,32.0,31.515151515151516,34.24242424242424,328,274,343,787,760,766
40,1381,33.37,0.1635331135750674,28,32.8235294117647,32.18181818181818,35.121212121212125,337,281,352,807,779,781
41,1318,34.15,0.16445387994143487,28,33.6764705882353,32.84848484848485,35.93939393939394,346,287,361,825,799,797
42,1257,34.88,0.16585435779816507,28,34.470588235294116,33.484848484848484,36.696969696969695,354,293,370,841,818,812
43,1198,35.59,0.1676004495644844,28,35.205882352941174,34.15151515151515,37.42424242424242,362,299,378,857,835,828
44,1142,36.24,0.16999448123620312,28,35.85294117647059,34.75757575757576,38.121212121212125,370,305,385,873,849,842
45,1089,36.86,0.17270211611502986,28,36.5,35.39393939393939,38.696969696969695,378,311,392,885,863,857
46,1032,37.52,0.17514925373134332,28,37.14705882352941,36.03030303030303,39.39393939393939,386,317,399,901,877,872
47,984,38.12,0.17779118572927602,28,37.6764705882353,36.60606060606061,40.09090909090909,393,323,406,917,888,885
48,939,38.69,0.18062806926854477,28,38.23529411764706,37.09090909090909,40.75757575757576,400,329,412,933,900,895
49,892,39.28,0.18312627291242364,28,38.85294117647059,37.60606060606061,41.39393939393939,408,335,417,949,913,906
50,838,39.85,0.18589962358845669,28,39.38235294117647,38.18181818181818,42.0,414,341,422,964,925,919
51,793,40.39,0.18893042832384255,28,39.911764705882355,38.72727272727273,42.54545454545455,420,346,427,977,937,932
52,747,40.91,0.19215595208995354,28,40.38235294117647,39.27272727272727,43.09090909090909,425,352,432,990,948,944
53,702,41.42,0.19533075808788028,28,40.911764705882355,39.696969696969695,43.666666666666664,431,357,437,1004,960,953
54,664,41.89,0.19819288613034133,28,41.38235294117647,40.09090909090909,44.21212121212121,437,361,441,1018,970,962
55,623,42.36,0.2010623229461757,28,41.88235294117647,40.54545454545455,44.666666666666664,443,365,444,1030,981,973
56,589,42.79,0.20385370413648046,28,42.35294117647059,40.90909090909091,45.121212121212125,447,369,448,1041,993,981
57,567,43.16,0.20669601482854488,28,42.73529411764706,41.21212121212121,45.54545454545455,450,372,452,1051,1003,988
58,547,43.51,0.20973339462192597,28,43.029411764705884,41.57575757575758,45.93939393939394,454,376,455,1061,1009,996
59,521,43.86,0.2127268581851345,28,43.294117647058826,41.93939393939394,46.36363636363637,457,380,458,1072,1015,1004
60,498,44.18,0.21554549569941145,28,43.55882352941177,42.27272727272727,46.72727272727273,460,384,461,1081,1021,1011
61,483,44.48,0.2182643884892086,28,43.794117647058826,42.60606060606061,47.06060606060606,463,387,463,1090,1026,1019
62,461,44.79,0.22107836570663097,28,44.029411764705884,42.96969696969697,47.39393939393939,466,391,465,1099,1031,1027
63,439,45.1,0.22389356984478936,28,44.26470588235294,43.303030303030305,47.75757575757576,469,395,467,1109,1036,1034
