,TotalSugar,AvgSugarLevel,SugarGini,NumCooperators,RiskAverseAvgSugar,NeutralAvgSugar,RiskSeekingAvgSugar,RiskAverseCoopSugar,NeutralCoopSugar,RiskSeekingCoopSugar,RiskSeekingNonCoopSugar,RiskAverseNonCoopSugar,NeutralNonCoopSugar
0,4622,0.0,0.0,28,0.0,0.0,0.0,0,0,0,0,0,0
1,4539,0.83,0.17,28,0.9117647058823529,0.7575757575757576,0.8181818181818182,10,8,7,20,21,17
2,4453,1.69,0.15473372781065095,28,1.8235294117647058,1.5757575757575757,1.6666666666666667,20,16,15,40,42,36
3,4367,2.55,0.14976470588235288,28,2.735294117647059,2.393939393939394,2.515151515151515,30,24,23,60,63,55
4,4281,3.41,0.1473020527859238,28,3.6470588235294117,3.212121212121212,3.3636363636363638,40,32,31,80,84,74
5,4195,4.27,0.14583138173302104,28,4.5588235294117645,4.03030303030303,4.212121212121212,50,40,39,100,105,93
6,4112,5.1,0.14941176470588233,28,5.411764705882353,4.818181818181818,5.0606060606060606,60,48,47,120,124,111
7,4028,5.94,0.15090909090909094,28,6.294117647058823,5.606060606060606,5.909090909090909,70,56,55,140,144,129
8,3944,6.78,0.15203539823008852,28,7.176470588235294,6.393939393939394,6.757575757575758,80,64,63,160,164,147
9,3865,7.63,0.15173001310615988,28,8.058823529411764,7.242424242424242,7.575757575757576,90,72,70,180,184,167
10,3788,8.46,0.1533096926713948,28,8.911764705882353,8.06060606060606,8.393939393939394,100,80,77,200,203,186
11,3706,9.31,0.15296455424274968,28,9.794117647058824,8.909090909090908,9.212121212121213,110,88,84,220,223,206
12,3625,10.15,0.15342857142857141,28,10.676470588235293,9.696969696969697,10.06060606060606,120,96,92,240,243,224
13,3549,11.0,0.15292727272727277,28,11.558823529411764,10.545454545454545,10.878787878787879,130,104,99,260,263,244
14,3477,11.84,0.15307432432432436,28,12.411764705882353,11.393939393939394,11.696969696969697,140,112,107,279,282,264
15,3398,12.66,0.1545339652448658,28,13.264705882352942,12.212121212121213,12.484848484848484,150,120,115,297,301,283
16,3317,13.47,0.15641425389755015,28,14.117647058823529,13.0,13.272727272727273,160,128,123,315,320,301
17,3242,14.31,0.1565408805031447,28,15.0,13.818181818181818,14.090909090909092,170,136,131,334,340,320
18,3167,15.15,0.1566930693069307,28,15.882352941176471,14.636363636363637,14.909090909090908,180,144,139,353,360,339
19,3091,15.97,0.15771446462116473,28,16.764705882352942,15.393939393939394,15.727272727272727,190,152,147,372,380,356
