Step,AgentID,SugarLevel
1,1,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,0
1,7,1
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,0
1,15,1
1,16,1
1,17,0
1,18,1
1,19,1
1,20,1
1,21,1
1,22,1
1,23,1
1,24,1
1,25,1
1,26,1
1,27,1
1,28,1
1,29,0
1,30,1
2,1,2
2,2,2
2,3,2
2,4,2
2,5,2
2,6,0
2,7,2
2,8,2
2,9,2
2,10,2
2,11,2
2,12,2
2,13,2
2,14,0
2,15,2
2,16,2
2,17,1
2,18,2
2,19,2
2,20,2
2,21,2
2,22,2
2,23,2
2,24,2
2,25,2
2,26,2
2,27,2
2,28,2
2,29,0
2,30,2
3,1,3
3,2,3
3,3,3
3,4,3
3,5,3
3,6,0
3,7,3
3,8,3
3,9,3
3,10,3
3,11,2
3,12,3
3,13,3
3,14,1
3,15,3
3,16,3
3,17,2
3,18,3
3,19,3
3,20,3
3,21,3
3,22,3
3,23,3
3,24,3
3,25,3
3,26,3
3,27,3
3,28,3
3,29,0
3,30,3
4,1,4
4,2,4
4,3,4
4,4,4
4,5,4
4,6,0
4,7,4
4,8,4
4,9,4
4,10,4
4,11,3
4,12,4
4,13,4
4,14,2
4,15,4
4,16,4
4,17,3
4,18,4
4,19,4
4,20,4
4,21,4
4,22,4
4,23,4
4,24,4
4,25,4
4,26,4
4,27,4
4,28,4
4,29,0
4,30,3
5,1,5
5,2,5
5,3,5
5,4,5
5,5,5
5,6,1
5,7,5
5,8,5
5,9,5
5,10,5
5,11,4
5,12,5
5,13,4
5,14,3
5,15,5
5,16,5
5,17,4
5,18,5
5,19,5
5,20,5
5,21,5
5,22,5
5,23,5
5,24,5
5,25,5
5,26,5
5,27,5
5,28,5
5,29,0
5,30,4
6,1,6
6,2,6
6,3,6
6,4,6
6,5,6
6,6,2
6,7,6
6,8,6
6,9,6
6,10,6
6,11,5
6,12,6
6,13,5
6,14,4
6,15,6
6,16,6
6,17,5
6,18,6
6,19,6
6,20,6
6,21,6
6,22,6
6,23,6
6,24,6
6,25,6
6,26,6
6,27,6
6,28,6
6,29,0
6,30,5
7,1,7
7,2,7
7,3,7
7,4,7
7,5,7
7,6,3
7,7,7
7,8,7
7,9,7
7,10,7
7,11,6
7,12,7
7,13,6
7,14,5
7,15,7
7,16,7
7,17,6
7,18,7
7,19,7
7,20,7
7,21,7
7,22,7
7,23,7
7,24,7
7,25,7
7,26,7
7,27,7
7,28,7
7,29,0
7,30,6
8,1,8
8,2,8
8,3,8
8,4,8
8,5,8
8,6,4
8,7,8
8,8,8
8,9,8
8,10,8
8,11,7
8,12,8
8,13,7
8,14,6
8,15,8
8,16,8
8,17,7
8,18,8
8,19,8
8,20,8
8,21,8
8,22,8
8,23,8
8,24,8
8,25,8
8,26,8
8,27,8
8,28,8
8,29,0
8,30,7
9,1,9
9,2,9
9,3,9
9,4,9
9,5,9
9,6,5
9,7,9
9,8,9
9,9,9
9,10,9
9,11,7
9,12,9
9,13,8
9,14,7
9,15,9
9,16,9
9,17,8
9,18,9
9,19,9
9,20,9
9,21,9
9,22,9
9,23,9
9,24,9
9,25,9
9,26,9
9,27,9
9,28,9
9,29,0
9,30,8
10,1,10
10,2,10
10,3,10
10,4,10
10,5,10
10,6,6
10,7,10
10,8,10
10,9,10
10,10,10
10,11,7
10,12,9
10,13,9
10,14,8
10,15,10
10,16,10
10,17,9
10,18,10
10,19,10
10,20,10
10,21,10
10,22,10
10,23,10
10,24,10
10,25,10
10,26,10
10,27,10
